,STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,sptype,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG,MAP,AET,PET,MAT,N,C,Lig,Cel,WSE
22,TD023,9,AND,1,8,ACSA,L,ACSAL,3932,1,10/19/1990,10.02,9.509,11/2/1998,9.64,2.39,NA,NA,NA,4.71,20.17,9.061,1.908,25.134,21.057,-0.172,-0.194,L,8.04,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
23,TD023,9,AND,1,9,ACSA,L,ACSAL,3928,1,10/19/1990,10.016,9.505,10/21/1999,4.31,2.08,NA,NA,NA,4.71,17.4,9.057,1.718,21.883,18.969,-0.169,-0.185,L,9,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
24,TD023,9,AND,1,10,ACSA,L,ACSAL,3924,1,10/19/1990,10.026,9.515,10/30/2000,9.549,1.96,NA,NA,NA,4.71,15.78,9.067,1.651,20.599,18.209,-0.157,-0.17,L,10.03,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
25,TD023,9,AND,2,1,ACSA,L,ACSAL,3959,1,10/19/1990,10.02,9.509,10/17/1991,17.538,6.631,NA,NA,NA,4.71,4.86,9.061,6.309,69.734,69.628,-0.363,-0.364,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
26,TD023,9,AND,2,1,ACSA,L,ACSAL,6751,7,10/19/1990,9.889,9.058,10/17/1991,8.451,5.859,NA,NA,NA,4.71,5.77,8.631,5.521,64.683,63.967,-0.438,-0.45,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
27,TD023,9,AND,2,2,ACSA,L,ACSAL,3955,1,10/19/1990,10.032,9.52,10/16/1992,8.415,4.277,NA,NA,NA,4.71,8.69,9.072,3.905,44.926,43.045,-0.401,-0.423,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
28,TD023,9,AND,2,2,ACSA,L,ACSAL,6747,7,10/19/1990,10.037,9.194,10/16/1992,9.912,5.75,NA,NA,NA,4.71,6.88,8.761,5.354,62.541,61.112,-0.235,-0.247,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
29,TD023,9,AND,2,3,ACSA,L,ACSAL,3951,1,10/19/1990,10.012,9.501,10/21/1993,17.674,4.064,NA,NA,NA,4.71,9.05,9.054,3.696,42.774,40.822,-0.283,-0.298,L,3.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
30,TD023,9,AND,2,4,ACSA,L,ACSAL,3947,1,10/19/1990,10.089,9.574,10/25/1994,14.76,3.95,NA,NA,NA,4.71,13.73,9.123,3.408,41.258,37.356,-0.22,-0.245,L,4.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
31,TD023,9,AND,2,5,ACSA,L,ACSAL,3943,1,10/19/1990,9.977,9.468,10/26/1995,25.69,5.64,NA,NA,NA,4.71,20.14,9.022,4.504,59.569,49.922,-0.103,-0.138,L,5.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
32,TD023,9,AND,2,6,ACSA,L,ACSAL,3939,1,10/19/1990,10.035,9.523,10/21/1996,20.278,2.918,NA,NA,NA,4.71,14.28,9.074,2.501,30.642,27.562,-0.197,-0.215,L,6.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
33,TD023,9,AND,2,7,ACSA,L,ACSAL,3935,1,10/19/1990,9.932,9.425,10/17/1997,10.29,2.45,NA,NA,NA,4.71,12.04,8.981,2.155,25.995,23.995,-0.193,-0.204,L,7,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
34,TD023,9,AND,2,8,ACSA,L,ACSAL,3931,1,10/19/1990,10.076,9.562,11/2/1998,10.43,1.91,NA,NA,NA,4.71,20.03,9.112,1.527,19.975,16.758,-0.2,-0.222,L,8.04,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
35,TD023,9,AND,2,9,ACSA,L,ACSAL,3927,1,10/19/1990,10.011,9.5,10/21/1999,3.73,2,NA,NA,NA,4.71,12.36,9.053,1.753,21.053,19.364,-0.173,-0.182,L,9,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
36,TD023,9,AND,2,10,ACSA,L,ACSAL,3923,1,10/19/1990,10.036,9.524,10/30/2000,9.671,2.296,NA,NA,NA,4.71,5.3,9.075,2.174,24.108,23.956,-0.142,-0.142,L,10.03,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
37,TD023,9,AND,3,1,ACSA,L,ACSAL,3958,1,10/19/1990,10.02,9.509,10/17/1991,11.92,6.767,NA,NA,NA,4.71,5.5,9.061,6.395,71.164,70.577,-0.342,-0.351,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
38,TD023,9,AND,3,1,ACSA,L,ACSAL,6750,7,10/19/1990,9.976,9.138,10/17/1991,11.014,6.956,NA,NA,NA,4.71,5.09,8.708,6.602,76.122,75.815,-0.275,-0.279,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
39,TD023,9,AND,3,2,ACSA,L,ACSAL,3954,1,10/19/1990,10.007,9.497,10/16/1992,7.488,5.982,NA,NA,NA,4.71,6.6,9.05,5.587,62.988,61.735,-0.232,-0.242,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
40,TD023,9,AND,3,2,ACSA,L,ACSAL,6746,7,10/19/1990,10.049,9.205,10/16/1992,7.939,6.614,NA,NA,NA,4.71,6.2,8.771,6.204,71.852,70.733,-0.166,-0.174,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
41,TD023,9,AND,3,3,ACSA,L,ACSAL,3950,1,10/19/1990,10.031,9.519,10/21/1993,14.995,4.432,NA,NA,NA,4.71,9.07,9.071,4.03,46.56,44.427,-0.254,-0.27,L,3.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
42,TD023,9,AND,3,4,ACSA,L,ACSAL,3946,1,10/19/1990,9.996,9.486,10/25/1994,10.02,3.01,NA,NA,NA,4.71,15.09,9.039,2.556,31.731,28.277,-0.286,-0.314,L,4.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
43,TD023,9,AND,3,5,ACSA,L,ACSAL,3942,1,10/19/1990,10.049,9.537,10/26/1995,19.19,3.45,NA,NA,NA,4.71,14.16,9.088,2.961,36.175,32.581,-0.203,-0.223,L,5.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
44,TD023,9,AND,3,6,ACSA,L,ACSAL,3938,1,10/19/1990,9.971,9.462,10/21/1996,12.244,2.573,NA,NA,NA,4.71,11.28,9.016,2.283,27.193,25.322,-0.217,-0.229,L,6.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
45,TD023,9,AND,3,7,ACSA,L,ACSAL,3934,1,10/19/1990,10.09,9.575,10/17/1997,7.22,2.07,NA,NA,NA,4.71,13.54,9.124,1.79,21.619,19.619,-0.219,-0.233,L,7,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
46,TD023,9,AND,3,9,ACSA,L,ACSAL,3926,1,10/19/1990,10.048,9.536,10/21/1999,2.69,2.24,NA,NA,NA,4.71,15.7,9.087,1.888,23.49,20.777,-0.161,-0.174,L,9,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
47,TD023,9,AND,3,10,ACSA,L,ACSAL,3922,1,10/19/1990,10.004,9.494,10/30/2000,11.063,2.02,NA,NA,NA,4.71,13.46,9.047,1.748,21.277,19.321,-0.154,-0.164,L,10.03,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
48,TD023,9,AND,4,1,ACSA,L,ACSAL,3957,1,10/19/1990,10.082,9.568,10/17/1991,13.188,7.04,NA,NA,NA,4.71,4.96,9.117,6.691,73.579,73.39,-0.309,-0.311,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
49,TD023,9,AND,4,1,ACSA,L,ACSAL,6749,7,10/19/1990,9.99,9.151,10/17/1991,13.81,6.609,NA,NA,NA,4.71,6.65,8.72,6.17,72.222,70.757,-0.327,-0.348,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
50,TD023,9,AND,4,2,ACSA,L,ACSAL,3953,1,10/19/1990,10.062,9.549,10/16/1992,7.236,5.759,NA,NA,NA,4.71,6.82,9.099,5.366,60.31,58.974,-0.254,-0.265,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
51,TD023,9,AND,4,2,ACSA,L,ACSAL,6697,7,10/19/1990,10.065,9.22,10/16/1992,8.369,6.476,NA,NA,NA,4.71,7.51,8.786,5.99,70.239,68.177,-0.177,-0.192,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
52,TD023,9,AND,4,3,ACSA,L,ACSAL,3949,1,10/19/1990,9.967,9.459,10/21/1993,12.945,4.348,NA,NA,NA,4.71,9.02,9.013,3.956,45.967,43.892,-0.259,-0.274,L,3.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
53,TD023,9,AND,4,4,ACSA,L,ACSAL,3945,1,10/19/1990,10.071,9.557,10/25/1994,6.08,3.69,NA,NA,NA,4.71,16.57,9.107,3.079,38.61,33.809,-0.237,-0.27,L,4.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
54,TD023,9,AND,4,5,ACSA,L,ACSAL,3941,1,10/19/1990,10.052,9.539,10/26/1995,22.08,4.61,NA,NA,NA,4.71,12.35,9.09,4.041,48.328,44.455,-0.145,-0.162,L,5.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
55,TD023,9,AND,4,6,ACSA,L,ACSAL,3937,1,10/19/1990,9.991,9.481,10/21/1996,19.752,3.66,NA,NA,NA,4.71,14.31,9.034,3.136,38.604,34.713,-0.158,-0.176,L,6.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
56,TD023,9,AND,4,7,ACSA,L,ACSAL,3933,1,10/19/1990,10.043,9.531,10/17/1997,14.94,5,NA,NA,NA,4.71,12.11,9.082,4.395,52.46,48.392,-0.092,-0.104,L,7,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
57,TD023,9,AND,4,8,ACSA,L,ACSAL,3929,1,10/19/1990,10.079,9.565,11/2/1998,11.65,2.46,NA,NA,NA,4.71,14.97,9.114,2.092,25.719,22.954,-0.169,-0.183,L,8.04,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
58,TD023,9,AND,4,9,ACSA,L,ACSAL,3925,1,10/19/1990,10.039,9.527,10/21/1999,3.29,2.89,NA,NA,NA,4.71,19.65,9.078,2.322,30.335,25.578,-0.132,-0.151,L,9,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
59,TD023,9,AND,4,10,ACSA,L,ACSAL,3921,1,10/19/1990,10.001,9.491,10/30/2000,8.337,2.026,NA,NA,NA,4.71,17.73,9.044,1.667,21.347,18.432,-0.154,-0.169,L,10.03,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
60,TD023,9,ARC,1,1,ACSA,L,ACSAL,3315,1,8/23/1990,10.007,9.597,8/13/1991,NA,6.69,NA,NA,NA,4.71,13.85,9.145,5.763,69.709,63.018,-0.371,-0.475,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
61,TD023,9,ARC,1,1,ACSA,L,ACSAL,6737,7,8/23/1990,10.103,9.254,8/13/1991,NA,7.5,NA,NA,NA,4.71,4.72,8.818,7.146,81.046,81.039,-0.216,-0.216,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
62,TD023,9,ARC,1,2,ACSA,L,ACSAL,3311,1,8/23/1990,10.004,9.594,8/29/1992,21.23,5.38,NA,NA,NA,4.71,6.74,9.142,5.017,56.077,54.879,-0.287,-0.297,L,2.02,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
63,TD023,9,ARC,1,2,ACSA,L,ACSAL,6733,7,8/23/1990,10.103,9.254,8/29/1992,15.64,5.4,NA,NA,NA,4.71,7.27,8.818,5.007,58.353,56.782,-0.267,-0.28,L,2.02,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
64,TD023,9,ARC,1,3,ACSA,L,ACSAL,3307,1,8/23/1990,10.007,9.597,8/23/1993,23.63,4.919,NA,NA,NA,4.71,8.99,9.145,4.477,51.256,48.956,-0.223,-0.238,L,3,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
65,TD023,9,ARC,1,4,ACSA,L,ACSAL,3303,1,8/23/1990,10.008,9.598,8/18/1994,21.287,4.748,NA,NA,NA,4.71,10.29,9.146,4.259,49.469,46.567,-0.177,-0.192,L,3.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
66,TD023,9,ARC,1,5,ACSA,L,ACSAL,3299,1,8/23/1990,10.01,9.6,8/21/1995,27.16,5.2,NA,NA,NA,4.71,9.98,9.148,4.681,54.167,51.17,-0.123,-0.134,L,4.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
67,TD023,9,ARC,1,6,ACSA,L,ACSAL,3287,1,8/23/1990,10.006,9.596,8/22/1996,17.13,2.73,NA,NA,NA,4.71,13.75,9.144,2.355,28.449,25.755,-0.21,-0.226,L,6,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
68,TD023,9,ARC,1,7,ACSA,L,ACSAL,3291,1,8/23/1990,10.008,9.598,8/18/1997,24.408,3.795,NA,NA,NA,4.71,8.26,9.146,3.482,39.539,38.071,-0.133,-0.138,L,6.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
69,TD023,9,ARC,1,8,ACSA,L,ACSAL,3295,1,8/23/1990,9.999,9.589,8/20/1998,9.43,3.46,NA,NA,NA,4.71,12.77,9.137,3.018,36.083,33.031,-0.128,-0.139,L,7.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
70,TD023,9,ARC,1,9,ACSA,L,ACSAL,3283,1,8/23/1990,10.008,9.598,8/26/1999,13.37,2.14,NA,NA,NA,4.71,14.28,9.146,1.834,22.296,20.052,-0.167,-0.178,L,9.01,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
71,TD023,9,ARC,1,10,ACSA,L,ACSAL,3919,1,8/23/1990,10.013,9.502,8/22/2000,14.8,3.08,NA,NA,NA,4.71,11.61,9.054,2.722,32.414,30.064,-0.113,-0.12,L,10,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
72,TD023,9,ARC,2,1,ACSA,L,ACSAL,3314,1,8/23/1990,10.005,9.595,8/13/1991,NA,7.39,NA,NA,NA,4.71,17.83,9.143,6.072,77.019,66.411,-0.269,-0.421,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
73,TD023,9,ARC,2,1,ACSA,L,ACSAL,6736,7,8/23/1990,10.098,9.25,8/13/1991,NA,7.79,NA,NA,NA,4.71,4.9,8.814,7.408,84.216,84.048,-0.177,-0.179,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
74,TD023,9,ARC,2,2,ACSA,L,ACSAL,3310,1,8/23/1990,10.007,9.597,8/29/1992,9.73,7.07,NA,NA,NA,4.71,5.72,9.145,6.666,73.669,72.892,-0.151,-0.157,L,2.02,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
75,TD023,9,ARC,2,2,ACSA,L,ACSAL,6732,7,8/23/1990,10.018,9.176,8/29/1992,12.95,6.63,NA,NA,NA,4.71,6.49,8.744,6.2,72.254,70.906,-0.161,-0.17,L,2.02,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
76,TD023,9,ARC,2,3,ACSA,L,ACSAL,3306,1,8/23/1990,10.008,9.598,8/23/1993,18.39,6.609,NA,NA,NA,4.71,5.34,9.146,6.256,68.858,68.401,-0.124,-0.127,L,3,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
77,TD023,9,ARC,2,4,ACSA,L,ACSAL,3302,1,8/23/1990,10.004,9.594,8/18/1994,17.096,5.95,NA,NA,NA,4.71,6.67,9.142,5.553,62.018,60.742,-0.12,-0.125,L,3.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
78,TD023,9,ARC,2,5,ACSA,L,ACSAL,3298,1,8/23/1990,10.006,9.596,8/21/1995,22.92,5.29,NA,NA,NA,4.71,10.44,9.144,4.738,55.127,51.815,-0.119,-0.132,L,4.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
79,TD023,9,ARC,2,6,ACSA,L,ACSAL,3294,1,8/23/1990,10.006,9.596,8/22/1996,16.56,4.29,NA,NA,NA,4.71,11,9.144,3.818,44.706,41.754,-0.134,-0.146,L,6,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
80,TD023,9,ARC,2,7,ACSA,L,ACSAL,3290,1,8/23/1990,10.01,9.6,8/18/1997,21.69,3.596,NA,NA,NA,4.71,8.26,9.148,3.299,37.458,36.063,-0.141,-0.146,L,6.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
81,TD023,9,ARC,2,8,ACSA,L,ACSAL,3286,1,8/23/1990,10.008,9.598,8/20/1998,8.07,3.97,NA,NA,NA,4.71,11.33,9.146,3.52,41.363,38.487,-0.11,-0.119,L,7.99,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
82,TD023,9,ARC,2,9,ACSA,L,ACSAL,3282,1,8/23/1990,10.007,9.597,8/26/1999,17.16,3.57,NA,NA,NA,4.71,9.17,9.145,3.243,37.199,35.462,-0.11,-0.115,L,9.01,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
83,TD023,9,ARC,2,10,ACSA,L,ACSAL,3918,1,8/23/1990,10.033,9.521,8/22/2000,13.53,3.14,NA,NA,NA,4.71,6.65,9.073,2.931,32.98,32.305,-0.111,-0.113,L,10,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
84,TD023,9,ARC,3,1,ACSA,L,ACSAL,3313,1,8/23/1990,10.008,9.598,8/13/1991,NA,7.53,NA,NA,NA,4.71,4.72,9.146,7.175,78.454,78.45,-0.25,-0.25,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
85,TD023,9,ARC,3,1,ACSA,L,ACSAL,6735,7,8/23/1990,10.085,9.238,8/13/1991,NA,7.97,NA,NA,NA,4.71,4.59,8.803,7.604,86.274,86.38,-0.152,-0.151,L,0.97,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
86,TD023,9,ARC,3,2,ACSA,L,ACSAL,3309,1,8/23/1990,10.006,9.596,8/29/1992,9.39,6.11,NA,NA,NA,4.71,6.39,9.144,5.72,63.672,62.555,-0.224,-0.232,L,2.02,,,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678
