Jar,Exp,plot,Ring,CO2,N,NoSp,NoGrp,MonoSp,MonoGrp,Time,DRR,CR
57,e141,51,1,Cenrich,Namb,16,4,,,1,0.015660208,0.0156602
58,e141,94,2,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,1,0.001840994,0.001841
59,e141,107,2,Camb,Namb,16,4,,,1,0.008180875,0.0081809
60,e141,175,3,Cenrich,Nenrich,16,4,,,1,0.006938236,0.0069382
61,e141,110,2,Camb,Nenrich,16,4,,,1,0.003279661,0.0032797
62,e141,116,2,Camb,Namb,1,1,LespedezaCapitata,Legume,1,0.003792398,0.0037924
63,e141,179,3,Cenrich,Namb,16,4,,,1,0.004624809,0.0046248
64,e141,173,3,Cenrich,Namb,16,4,,,1,0.002650595,0.0026506
65,e141,180,3,Cenrich,Nenrich,16,4,,,1,0.010533036,0.010533
66,e141,126,3,Cenrich,Namb,1,1,SorghastrumNutans,C-4,1,0.005139994,0.00514
67,e141,235,4,Camb,Namb,1,1,AgropyronRepens,C-3,1,0.003113559,0.0031136
68,e141,256,5,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,1,0.004607538,0.0046075
69,e141,201,4,Camb,Namb,16,4,,,1,0.002901057,0.0029011
70,e141,205,4,Camb,Nenrich,16,4,,,1,0.005651955,0.005652
71,e141,99,2,Camb,Nenrich,1,1,SolidagoRigida,Forb,1,0.006346762,0.0063468
72,e141,225,4,Camb,Nenrich,1,1,AgropyronRepens,C-3,1,0.004093818,0.0040938
73,e141,199,4,Camb,Namb,1,1,SolidagoRigida,Forb,1,0.003608879,0.0036089
74,e141,188,4,Camb,Namb,16,4,,,1,0.002924692,0.0029247
75,e141,153,3,Cenrich,Namb,1,1,SolidagoRigida,Forb,1,0.006451512,0.0064515
76,e141,236,4,Camb,Nenrich,16,4,,,1,0.006991092,0.0069911
77,e141,234,4,Camb,Nenrich,16,4,,,1,0.006940276,0.0069403
78,e141,277,5,Cenrich,Namb,1,1,SorghastrumNutans,C-4,1,0.007123746,0.0071237
79,e141,283,5,Cenrich,Namb,16,4,,,1,0.005937997,0.005938
80,e141,267,5,Cenrich,Nenrich,16,4,,,1,0.003124228,0.0031242
81,e141,248,5,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,1,0.002216499,0.0022165
82,e141,272,5,Cenrich,Namb,16,4,,,1,0.008173147,0.0081731
83,e141,275,5,Cenrich,Nenrich,16,4,,,1,0.031265864,0.0312659
84,e141,202,4,Camb,Namb,1,1,BromusInermis,C-3,1,0.003170453,0.0031705
85,e141,304,5,Cenrich,Namb,1,1,LespedezaCapitata,Legume,1,0.004704492,0.0047045
86,e141,253,5,Cenrich,Nenrich,16,4,,,1,0.003666131,0.0036661
87,e141,273,5,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,1,0.009661266,0.0096613
88,e141,147,3,Cenrich,Namb,16,4,,,1,0.003001083,0.0030011
89,e141,151,3,Cenrich,Nenrich,16,4,,,1,0.009336611,0.0093366
90,e141,301,5,Cenrich,Nenrich,16,4,,,1,0.010835491,0.0108355
91,e141,331,6,Camb,Namb,1,1,SorghastrumNutans,C-4,1,0.004980699,0.0049807
92,e141,344,6,Camb,Namb,16,4,,,1,0.004342543,0.0043425
93,e141,362,6,Camb,Nenrich,1,1,SorghastrumNutans,C-4,1,0.004249758,0.0042498
94,e141,338,6,Camb,Nenrich,1,1,SolidagoRigida,Forb,1,0.005353643,0.0053536
95,e141,329,6,Camb,Namb,1,1,AsclepiasTuberosa,Forb,1,0.002372347,0.0023723
96,e141,355,6,Camb,Namb,16,4,,,1,0.004855376,0.0048554
97,e141,322,6,Camb,Namb,1,1,LespedezaCapitata,Legume,1,0.00334889,0.0033489
98,e141,145,3,Cenrich,Namb,1,1,AgropyronRepens,C-3,1,0.004660207,0.0046602
99,e141,345,6,Camb,Namb,1,1,SchizachyriumScoparium,C-4,1,0.007481917,0.0074819
100,e141,321,6,Camb,Nenrich,16,4,,,1,0.008840127,0.0088401
101,e141,22,1,Cenrich,Nenrich,1,1,BromusInermis,C-3,1,0.005660739,0.0056607
102,e141,311,6,Camb,Nenrich,16,4,,,1,0.006477418,0.0064774
103,e141,318,6,Camb,Nenrich,1,1,LespedezaCapitata,Legume,1,0.002601292,0.0026013
104,e141,314,6,Camb,Namb,1,1,SolidagoRigida,Forb,1,0.002911361,0.0029114
105,e141,342,6,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,1,0.001744355,0.0017444
106,e141,316,6,Camb,Nenrich,1,1,AmorphaCanescens,Legume,1,0.003096914,0.0030969
107,e141,349,6,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,1,0.003225416,0.0032254
108,e141,307,6,Camb,Nenrich,16,4,,,1,0.006026469,0.0060265
109,e141,111,2,Camb,Namb,1,1,AgropyronRepens,C-3,1,0.004473811,0.0044738
110,e141,330,6,Camb,Namb,1,1,AmorphaCanescens,Legume,1,0.001365929,0.0013659
111,e141,354,6,Camb,Nenrich,16,4,,,1,0.004242135,0.0042421
112,e141,158,3,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,1,0.002003245,0.0020032
1,e141,35,1,Cenrich,Namb,1,1,LespedezaCapitata,Legume,2,0.002213768,0.0102865
2,e141,109,2,Camb,Namb,1,1,BromusInermis,C-3,2,0.002891996,0.0131508
3,e141,8,1,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,2,0.004268213,0.0184593
4,e141,30,1,Cenrich,Nenrich,16,4,,,2,0.003673856,0.033537
5,e141,42,1,Cenrich,Namb,1,1,SolidagoRigida,Forb,2,0.004975495,0.0239173
6,e141,184,4,Camb,Namb,16,4,,,2,0.005709196,0.0252962
7,e141,209,4,Camb,Namb,1,1,AmorphaCanescens,Legume,2,0.001583571,0.0068053
8,e141,358,6,Camb,Namb,16,4,,,2,0.004306922,0.0202674
9,e141,18,1,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,2,0.002497343,0.0131536
10,e141,43,1,Cenrich,Nenrich,16,4,,,2,0.004784699,0.0239095
11,e141,163,3,Cenrich,Namb,16,4,,,2,0.003256388,0.0159979
12,e141,130,3,Cenrich,Nenrich,16,4,,,2,NA,0.0308916
13,e141,52,1,Cenrich,Nenrich,16,4,,,2,0.004740498,0.0213916
14,e141,71,2,Camb,Nenrich,1,1,SorghastrumNutans,C-4,2,0.00374985,0.0185253
15,e141,231,4,Camb,Namb,1,1,SchizachyriumScoparium,C-4,2,0.003934557,0.0188056
16,e141,254,5,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,2,0.002530536,0.0123863
17,e141,112,2,Camb,Nenrich,1,1,AgropyronRepens,C-3,2,0.003570872,0.0173947
18,e141,306,6,Camb,Namb,16,4,,,2,0.003491396,0.0139656
19,e141,5,1,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,2,0.00227415,0.0108458
20,e141,24,1,Cenrich,Namb,1,1,AgropyronRepens,C-3,2,0.003496863,0.0155777
21,e141,266,5,Cenrich,Namb,1,1,BromusInermis,C-3,2,0.003601162,0.0178999
22,e141,222,4,Camb,Namb,16,4,,,2,0.003638391,0.0145536
23,e141,270,5,Cenrich,Namb,16,4,,,2,0.004615442,0.020382
24,e141,352,6,Camb,Nenrich,1,1,BromusInermis,C-3,2,0.006102713,0.0275321
25,e141,33,1,Cenrich,Namb,16,4,,,2,0.00598831,0.0276232
26,e141,104,2,Camb,Namb,16,4,,,2,0.003986071,0.0192975
27,e141,213,4,Camb,Nenrich,16,4,,,2,0.005636376,0.0255755
28,e141,31,1,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,2,0.002481116,0.0117499
29,e141,137,3,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,2,0.002354696,0.0109562
30,e141,67,2,Camb,Namb,16,4,,,2,0.002838236,0.0129882
31,e141,57,1,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,2,0.002122179,0.0098102
32,e141,118,2,Camb,Nenrich,16,4,,,2,0.002941606,0.0169546
33,e141,279,5,Cenrich,Namb,1,1,AmorphaCanescens,Legume,2,0.00327391,0.0155603
34,e141,250,5,Cenrich,Namb,16,4,,,2,0.005226355,0.0227859
35,e141,13,1,Cenrich,Nenrich,16,4,,,2,0.005399521,0.0233502
36,e141,69,2,Camb,Namb,16,4,,,2,0.004457596,0.0208301
37,e141,241,4,Camb,Nenrich,1,1,LespedezaCapitata,Legume,2,0.003201507,0.0136977
38,e141,64,2,Camb,Nenrich,16,4,,,2,0.003961296,0.0145696
39,e141,196,4,Camb,Nenrich,1,1,AmorphaCanescens,Legume,2,0.000967499,0.0046085
40,e141,169,3,Cenrich,Namb,1,1,AmorphaCanescens,Legume,2,0.001873623,0.0091094
41,e141,143,3,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,2,0.004716554,0.0219354
42,e141,39,1,Cenrich,Namb,1,1,BromusInermis,C-3,2,0.003718155,0.0173219
43,e141,108,2,Camb,Nenrich,16,4,,,2,0.004454298,0.0216181
44,e141,53,1,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,2,0.005127999,0.020512
45,e141,132,3,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,2,0.003825263,0.0172537
46,e141,103,2,Camb,Nenrich,1,1,BromusInermis,C-3,2,0.005263728,0.0236791
47,e141,36,1,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,2,0.004810392,0.0224094
48,e141,90,2,Camb,Namb,1,1,SorghastrumNutans,C-4,2,0.004351844,0.0174074
49,e141,144,3,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,2,0.002345421,0.01234
50,e141,68,2,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,2,0.002793374,0.0126625
51,e141,123,3,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,2,0.004307657,0.0205105
52,e141,192,4,Camb,Namb,1,1,AsclepiasTuberosa,Forb,2,0.00113815,0.0051797
53,e141,23,1,Cenrich,Namb,16,4,,,2,0.003396103,0.0160855
54,e141,160,3,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,2,0.00136869,0.0062787
55,e141,45,1,Cenrich,Namb,16,4,,,2,0.004441364,0.0198808
56,e141,174,3,Cenrich,Nenrich,1,1,BromusInermis,C-3,2,0.006059015,0.0271637
57,e141,51,1,Cenrich,Namb,16,4,,,2,0.011599309,0.054519
58,e141,94,2,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,2,0.001486543,0.0066551
59,e141,107,2,Camb,Namb,16,4,,,2,0.006388834,0.0291394
60,e141,175,3,Cenrich,Nenrich,16,4,,,2,0.005864464,0.0256054
61,e141,110,2,Camb,Nenrich,16,4,,,2,0.001541406,0.0096421
62,e141,116,2,Camb,Namb,1,1,LespedezaCapitata,Legume,2,0.002853835,0.0132925
63,e141,179,3,Cenrich,Namb,16,4,,,2,0.005576005,0.0204016
64,e141,173,3,Cenrich,Namb,16,4,,,2,0.002221001,0.0097432
65,e141,180,3,Cenrich,Nenrich,16,4,,,2,0.008325542,0.0377172
66,e141,126,3,Cenrich,Namb,1,1,SorghastrumNutans,C-4,2,0.003768852,0.0178177
67,e141,235,4,Camb,Namb,1,1,AgropyronRepens,C-3,2,0.002272947,0.010773
68,e141,256,5,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,2,0.003542367,0.0162998
69,e141,201,4,Camb,Namb,16,4,,,2,0.002888465,0.011579
70,e141,205,4,Camb,Nenrich,16,4,,,2,0.004370589,0.0200451
71,e141,99,2,Camb,Nenrich,1,1,SolidagoRigida,Forb,2,0.005645773,0.0239851
72,e141,225,4,Camb,Nenrich,1,1,AgropyronRepens,C-3,2,0.003068102,0.0143238
73,e141,199,4,Camb,Namb,1,1,SolidagoRigida,Forb,2,0.00280857,0.0128349
74,e141,188,4,Camb,Namb,16,4,,,2,0.003576659,0.0130027
75,e141,153,3,Cenrich,Namb,1,1,SolidagoRigida,Forb,2,0.006451512,0.025806
76,e141,236,4,Camb,Nenrich,16,4,,,2,0.006171081,0.0263243
77,e141,234,4,Camb,Nenrich,16,4,,,2,0.004774507,0.0234296
78,e141,277,5,Cenrich,Namb,1,1,SorghastrumNutans,C-4,2,0.005599333,0.0254462
79,e141,283,5,Cenrich,Namb,16,4,,,2,0.005309216,0.0224944
80,e141,267,5,Cenrich,Nenrich,16,4,,,2,0.002543929,0.0113363
81,e141,248,5,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,2,0.001803045,0.0080391
82,e141,272,5,Cenrich,Namb,16,4,,,2,0.006671239,0.0296888
83,e141,275,5,Cenrich,Nenrich,16,4,,,2,0.020260019,0.1030518
84,e141,202,4,Camb,Namb,1,1,BromusInermis,C-3,2,0.00215316,0.0106472
85,e141,304,5,Cenrich,Namb,1,1,LespedezaCapitata,Legume,2,0.004573522,0.018556
86,e141,253,5,Cenrich,Nenrich,16,4,,,2,0.002826177,0.0129846
87,e141,273,5,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,2,0.007563436,0.0344494
88,e141,147,3,Cenrich,Namb,16,4,,,2,NA,0.0125601
89,e141,151,3,Cenrich,Nenrich,16,4,,,2,0.008278488,0.0352302
90,e141,301,5,Cenrich,Nenrich,16,4,,,2,0.008547723,0.0387664
91,e141,331,6,Camb,Namb,1,1,SorghastrumNutans,C-4,2,0.004172325,0.018306
92,e141,344,6,Camb,Namb,16,4,,,2,0.002923831,0.0145327
93,e141,362,6,Camb,Nenrich,1,1,SorghastrumNutans,C-4,2,0.003419485,0.0153385
94,e141,338,6,Camb,Nenrich,1,1,SolidagoRigida,Forb,2,0.005051303,0.0208099
95,e141,329,6,Camb,Namb,1,1,AsclepiasTuberosa,Forb,2,0.002118527,0.0089817
96,e141,355,6,Camb,Namb,16,4,,,2,0.004122005,0.0179548
97,e141,322,6,Camb,Namb,1,1,LespedezaCapitata,Legume,2,0.002660956,0.0120197
98,e141,145,3,Cenrich,Namb,1,1,AgropyronRepens,C-3,2,0.003558752,0.0164379
99,e141,345,6,Camb,Namb,1,1,SchizachyriumScoparium,C-4,2,0.006022687,0.0270092
100,e141,321,6,Camb,Nenrich,16,4,,,2,0.00742968,0.0325396
101,e141,22,1,Cenrich,Nenrich,1,1,BromusInermis,C-3,2,0.004937523,0.0211965
102,e141,311,6,Camb,Nenrich,16,4,,,2,0.005303144,0.0235611
103,e141,318,6,Camb,Nenrich,1,1,LespedezaCapitata,Legume,2,0.002045207,0.009293
104,e141,314,6,Camb,Namb,1,1,SolidagoRigida,Forb,2,0.003018488,0.0118597
105,e141,342,6,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,2,0.000933605,0.0053559
106,e141,316,6,Camb,Nenrich,1,1,AmorphaCanescens,Legume,2,0.002904849,0.0120035
107,e141,349,6,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,2,0.00268824,0.0118273
108,e141,307,6,Camb,Nenrich,16,4,,,2,0.004783787,0.0216205
109,e141,111,2,Camb,Namb,1,1,AgropyronRepens,C-3,2,0.003665449,0.0162785
110,e141,330,6,Camb,Namb,1,1,AmorphaCanescens,Legume,2,0.001365929,0.0054637
111,e141,354,6,Camb,Nenrich,16,4,,,2,0.003674339,0.0158329
112,e141,158,3,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,2,0.001532401,0.0070713
1,e141,35,1,Cenrich,Namb,1,1,LespedezaCapitata,Legume,7,0.002492,0.0174844
2,e141,109,2,Camb,Namb,1,1,BromusInermis,C-3,7,0.002722,0.0214873
3,e141,8,1,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,7,0.003611,0.0299498
4,e141,30,1,Cenrich,Nenrich,16,4,,,7,0.00769,0.0525908
5,e141,42,1,Cenrich,Namb,1,1,SolidagoRigida,Forb,7,0.003678,0.0362487
6,e141,184,4,Camb,Namb,16,4,,,7,0.004794,0.0405942
7,e141,209,4,Camb,Namb,1,1,AmorphaCanescens,Legume,7,0.001348,0.011085
8,e141,358,6,Camb,Namb,16,4,,,7,0.003458,0.0314895
9,e141,18,1,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,7,0.002198,0.0200471
10,e141,43,1,Cenrich,Nenrich,16,4,,,7,0.003749,0.0361931
11,e141,163,3,Cenrich,Namb,16,4,,,7,0.002263,0.0237807
12,e141,130,3,Cenrich,Nenrich,16,4,,,7,0.004084,0.0455687
13,e141,52,1,Cenrich,Nenrich,16,4,,,7,0.004299,0.0347308
14,e141,71,2,Camb,Nenrich,1,1,SorghastrumNutans,C-4,7,0.003371,0.0290177
15,e141,231,4,Camb,Namb,1,1,SchizachyriumScoparium,C-4,7,0.003056,0.0288531
16,e141,254,5,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,7,0.001789,0.0184948
17,e141,112,2,Camb,Nenrich,1,1,AgropyronRepens,C-3,7,0.002885,0.0267351
18,e141,306,6,Camb,Namb,16,4,,,7,0.0032,0.0238563
19,e141,5,1,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,7,0.001822,0.0167648
20,e141,24,1,Cenrich,Namb,1,1,AgropyronRepens,C-3,7,0.002975,0.0250237
21,e141,266,5,Cenrich,Namb,1,1,BromusInermis,C-3,7,0.003349,0.0281984
22,e141,222,4,Camb,Namb,16,4,,,7,0.002855,0.0239011
23,e141,270,5,Cenrich,Namb,16,4,,,7,0.003826,0.0326486
24,e141,352,6,Camb,Nenrich,1,1,BromusInermis,C-3,7,0.005565,0.0447651
25,e141,33,1,Cenrich,Namb,16,4,,,7,0.00598,0.0455705
26,e141,104,2,Camb,Namb,16,4,,,7,0.004206,0.0316962
27,e141,213,4,Camb,Nenrich,16,4,,,7,0.005093,0.041398
28,e141,31,1,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,7,0.002208,0.0186474
29,e141,137,3,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,7,0.002138,0.0175866
30,e141,67,2,Camb,Namb,16,4,,,7,0.002787,0.0213998
31,e141,57,1,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,7,0.002119,0.0161707
32,e141,118,2,Camb,Nenrich,16,4,,,7,0.003971,0.0278388
33,e141,279,5,Cenrich,Namb,1,1,AmorphaCanescens,Legume,7,0.003657,0.0261479
34,e141,250,5,Cenrich,Namb,16,4,,,7,0.004382,0.0367761
35,e141,13,1,Cenrich,Nenrich,16,4,,,7,0.005386,0.0395226
36,e141,69,2,Camb,Namb,16,4,,,7,0.004102,0.0334925
37,e141,241,4,Camb,Nenrich,1,1,LespedezaCapitata,Legume,7,0.002777,0.0224536
38,e141,64,2,Camb,Nenrich,16,4,,,7,0.003469,0.0254686
39,e141,196,4,Camb,Nenrich,1,1,AmorphaCanescens,Legume,7,0.001499,0.0085742
40,e141,169,3,Cenrich,Namb,1,1,AmorphaCanescens,Legume,7,0.002209,0.0154002
41,e141,143,3,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,7,0.004612,0.0358759
42,e141,39,1,Cenrich,Namb,1,1,BromusInermis,C-3,7,0.00403,0.0291002
43,e141,108,2,Camb,Nenrich,16,4,,,7,0.00494,0.035952
44,e141,53,1,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,7,0.004859,0.0353581
45,e141,132,3,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,7,0.003664,0.0284078
46,e141,103,2,Camb,Nenrich,1,1,BromusInermis,C-3,7,0.004814,0.0385706
47,e141,36,1,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,7,0.004599,0.0364172
48,e141,90,2,Camb,Namb,1,1,SorghastrumNutans,C-4,7,0.004183,0.0301252
49,e141,144,3,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,7,0.002935,0.0205549
50,e141,68,2,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,7,0.0029,0.021255
51,e141,123,3,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,7,0.004573,0.0339639
52,e141,192,4,Camb,Namb,1,1,AsclepiasTuberosa,Forb,7,0.001398,0.0091137
53,e141,23,1,Cenrich,Namb,16,4,,,7,0.003472,0.026426
54,e141,160,3,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,7,0.001193,0.0100337
55,e141,45,1,Cenrich,Namb,16,4,,,7,0.004407,0.0331365
56,e141,174,3,Cenrich,Nenrich,1,1,BromusInermis,C-3,7,0.005226,0.0436749
57,e141,51,1,Cenrich,Namb,16,4,,,7,0.010833,0.0877843
58,e141,94,2,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,7,0.001758,0.0116577
59,e141,107,2,Camb,Namb,16,4,,,7,0.005281,0.0460906
60,e141,175,3,Cenrich,Nenrich,16,4,,,7,0.005584,0.0426372
61,e141,110,2,Camb,Nenrich,16,4,,,7,0.002042,0.0152684
62,e141,116,2,Camb,Namb,1,1,LespedezaCapitata,Legume,7,0.002856,0.021858
63,e141,179,3,Cenrich,Namb,16,4,,,7,0.004698,0.0353729
64,e141,173,3,Cenrich,Namb,16,4,,,7,0.00182,0.0156043
65,e141,180,3,Cenrich,Nenrich,16,4,,,7,0.007062,0.0601661
66,e141,126,3,Cenrich,Namb,1,1,SorghastrumNutans,C-4,7,0.003413,0.028412
67,e141,235,4,Camb,Namb,1,1,AgropyronRepens,C-3,7,0.002161,0.0173675
68,e141,256,5,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,7,0.003962,0.0277657
69,e141,201,4,Camb,Namb,16,4,,,7,0.003044,0.0205546
70,e141,205,4,Camb,Nenrich,16,4,,,7,0.004632,0.0336795
71,e141,99,2,Camb,Nenrich,1,1,SolidagoRigida,Forb,7,0.004746,0.0391222
72,e141,225,4,Camb,Nenrich,1,1,AgropyronRepens,C-3,7,0.002826,0.0230438
73,e141,199,4,Camb,Namb,1,1,SolidagoRigida,Forb,7,0.002707,0.0210567
74,e141,188,4,Camb,Namb,16,4,,,7,0.003076,0.0227318
75,e141,153,3,Cenrich,Namb,1,1,SolidagoRigida,Forb,7,0.005604,0.0434659
76,e141,236,4,Camb,Nenrich,16,4,,,7,0.005507,0.0435104
77,e141,234,4,Camb,Nenrich,16,4,,,7,0.0049,0.038004
78,e141,277,5,Cenrich,Namb,1,1,SorghastrumNutans,C-4,7,0.005039,0.0411236
79,e141,283,5,Cenrich,Namb,16,4,,,7,0.004723,0.0372502
80,e141,267,5,Cenrich,Nenrich,16,4,,,7,0.002114,0.0181079
81,e141,248,5,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,7,0.002092,0.0140261
82,e141,272,5,Cenrich,Namb,16,4,,,7,0.005681,0.0477224
83,e141,275,5,Cenrich,Nenrich,16,4,,,7,0.014479,0.1522701
