Date,Plot,CO2,Depth,HorizonNotes,Bulk Density,d13C (ä),d15N (ä),atom%15N,%C,%N,gC/m2,gN/m2,mg15N/m2,Data source,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,6,E,0-9 cm,,0.83,nd,nd,nd,2.23,0.039,1667,29.4,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,8,E,0-9 cm,,0.83,nd,nd,nd,1.86,0.026,1389,19.2,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,10,E,0-9 cm,,0.83,nd,nd,nd,2.16,0.057,1611,42.8,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,12,E,0-9 cm,,0.83,nd,nd,nd,2.07,0.056,1545,41.5,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,14,E,0-9 cm,,0.83,nd,nd,nd,3.71,0.113,2768,84.4,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,16,E,0-9 cm,,0.83,nd,nd,nd,1.85,0.034,1381,25.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,1,A,9-20 cm,,1.01,nd,nd,nd,0.21,0.015,239,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,3,A,9-20 cm,,1.01,nd,nd,nd,0.26,0.015,287,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,5,A,9-20 cm,,1.01,nd,nd,nd,0.39,0.015,432,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,7,A,9-20 cm,,1.01,nd,nd,nd,0.45,0.015,499,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,9,A,9-20 cm,,1.01,nd,nd,nd,0.43,0.015,483,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,11,A,9-20 cm,,1.01,nd,nd,nd,0.54,0.015,604,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,13,A,9-20 cm,,1.01,nd,nd,nd,0.34,0.015,379,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,15,A,9-20 cm,,1.01,nd,nd,nd,0.25,0.015,281,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,2,E,9-20 cm,,1.01,nd,nd,nd,0.21,0.015,238,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,4,E,9-20 cm,,1.01,nd,nd,nd,0.38,0.015,426,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,6,E,9-20 cm,,1.01,nd,nd,nd,0.29,0.015,327,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,8,E,9-20 cm,,1.01,nd,nd,nd,0.30,0.015,337,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,10,E,9-20 cm,,1.01,nd,nd,nd,0.39,0.015,436,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,12,E,9-20 cm,,1.01,nd,nd,nd,0.35,0.015,388,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,14,E,9-20 cm,,1.01,nd,nd,nd,0.33,0.015,368,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,16,E,9-20 cm,,1.01,nd,nd,nd,0.29,0.015,319,16.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications); %N was apparently at the detection limit for the lab that ran these samples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,1,A,0-15 cm,,0.87,-27.44,,0.3921,1.5039,0.0434,1963,56.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,3,A,0-15 cm,,0.87,-27.15,,0.4277,1.5243,0.0258,1989,33.7,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,5,A,0-15 cm,,0.87,-27.01,,0.3865,2.3642,0.0699,3085,91.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,7,A,0-15 cm,,0.87,-26.96,,0.3917,1.2879,0.0625,1681,81.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,9,A,0-15 cm,,0.87,-27.28,,0.4275,1.5518,0.0447,2025,58.3,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,11,A,0-15 cm,,0.87,-28.25,,0.3785,3.0112,0.0696,3930,90.8,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,13,A,0-15 cm,,0.87,-28.72,,0.3847,3.1608,0.0779,4125,101.7,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,15,A,0-15 cm,,0.87,-24.43,,0.4373,0.8241,0.0312,1075,40.7,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,2,E,0-15 cm,,0.87,-24.86,,0.4211,3.5199,0.0587,4593,76.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,4,E,0-15 cm,,0.87,-27.3,,0.4012,3.4218,0.068,4465,88.7,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,6,E,0-15 cm,,0.87,-26.33,,0.3912,2.5009,0.0578,3264,75.4,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,8,E,0-15 cm,,0.87,-28.08,,0.4147,0.9544,0.0385,1245,50.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,10,E,0-15 cm,,0.87,-28.17,,0.4027,2.0973,0.0568,2737,74.1,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,12,E,0-15 cm,,0.87,-28.1,,0.3781,2.2393,0.0495,2922,64.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,14,E,0-15 cm,,0.87,-28.09,,0.397,1.7370,0.0446,2267,58.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-96,16,E,0-15 cm,,0.87,-26.07,,0.3809,1.3728,0.0569,1792,74.3,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,1,A,0-15 cm,,0.87,-26.23,,0.3856,3.2463,0.0783,4236,102.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,3,A,0-15 cm,,0.87,-27.41,,0.3998,1.9296,0.0459,2518,59.9,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,5,A,0-15 cm,,0.87,-27.95,,0.4094,1.3581,0.0369,1772,48.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,7,A,0-15 cm,,0.87,-27.16,,0.4039,1.5903,0.054,2075,70.5,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,9,A,0-15 cm,,0.87,-27.48,,0.3995,1.8423,0.0432,2404,56.4,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,11,A,0-15 cm,,0.87,-26.81,,0.3923,3.2562,0.0801,4249,104.5,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,13,A,0-15 cm,,0.87,-27.98,,0.4194,1.3644,0.0405,1781,52.9,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,15,A,0-15 cm,,0.87,-27.15,,0.3868,3.3525,0.09,4375,117.5,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,2,E,0-15 cm,,0.87,-26.26,,0.4013,3.3039,0.0747,4312,97.5,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,4,E,0-15 cm,,0.87,-26.00,,0.402,2.5146,0.0549,3282,71.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,6,E,0-15 cm,,0.87,-28.43,,0.3922,2.7261,0.0693,3558,90.4,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,8,E,0-15 cm,,0.87,-28.01,,0.4032,1.7127,0.0477,2235,62.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,10,E,0-15 cm,,0.87,-26.95,,0.394,3.5253,0.0657,4601,85.7,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,12,E,0-15 cm,,0.87,-27.36,,0.4198,0.9333,0.0342,1218,44.6,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,14,E,0-15 cm,,0.87,-27.69,,0.3883,2.3436,0.063,3058,82.2,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-97,16,E,0-15 cm,,0.87,-28.02,,0.3977,1.8549,0.054,2421,70.5,-,"Hungate, unpublished (but pool dilution results published in Hungate et al. 1999, Global Change Biology); measured at Berkeley with instrument set to report At %15N; 15N tracer added 24h before, so don't use these as natural abundance d15N, or for the long-term 15N tracer applied later; These samples were NOT sieved, only a very cursory pluck to remove large roots and OM. In this sense, they are only semi-quantitative for total soil C. These samples are the same as those used for the Dec 96 and Jul 97 pool dilution assays. They were taken to determine 15N recovery after 24 hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
